idx,title,start_date,start_time,end_date,end_time,when_raw,address_line,city,state,link
1,Boerne After Hours Mixer hosted by Joshua Creek Ranch,APR 23,6 PM,APR 23,,"Thu, Apr 23, 4 – 6 PM","Joshua Creek Ranch, 132 Cravey Rd",Boerne,TX,https://business.boerne.org/events/details/boerne-after-hours-mixer-hosted-by-joshua-creek-ranch-32066
2,Pet's Barn Boerne,APR 23,8 PM,APR 23,,"Thu, Apr 23, 6 – 8 PM","Pet's Barn - Boerne, 214 W Bandera Rd #100",Boerne,TX,https://vanguardvet.com/event-location/pets-barn-23-boerne/
3,The Best Jazz Brunch in Texas,APR 26,11 AM,APR 26,3 PM,"Sun, Apr 26, 11 AM – 3 PM","The Dodging Duck Brewhaus, 402 River Rd",Boerne,TX,https://open.spotify.com/concert/07TXTZqR8daLFdswt9x6sQ
4,Comfort Flow,APR 23,9 AM,APR 23,,"Thu, Apr 23, 8 – 9 AM","Unison Studios: Music Academy, 725 N Main St",Boerne,TX,https://www.groundedmovement.org/schedule/9a48060d-13d3-4d2c-942e-2b86436e2f45_1776949200
5,Cibolo Farmers Market at Herff Farm,APR 25,9 AM,APR 25,1 PM,"Sat, Apr 25, 9 AM – 1 PM","Herff Farm, 33 Herff Rd",Boerne,TX,https://business.boerne.org/events/details/cibolo-farmers-market-at-herff-farm-04-25-2026-29658
6,Chamber Thursday Leads Group,APR 23,10 AM,APR 23,,"Thu, Apr 23, 9 – 10 AM","Greater Boerne Chamber of Commerce, 121 S Main St",Boerne,TX,https://business.boerne.org/events/details/chamber-thursday-leads-group-04-23-2026-29367
7,Composting Workshop: Turning Scraps into Soil,APR 25,10:30 AM,APR 25,12:00 PM,"Sat, Apr 25, 10:30 AM – 12:00 PM","Herff Farm, 33 Herff Rd",Boerne,TX,https://business.boerne.org/events/details/composting-workshop-turning-scraps-into-soil-32254
8,Taste of The Nest: Nature Exploration — Boerne Love,APR 22,9:30 AM,APR 23,,"Wed, Apr 22, 9:30 AM – Thu, Apr 23, 10:30 AM","The Nest Nature School, 33 Herff Rd",Boerne,TX,https://www.boernelove.org/new-events-1/taste-of-the-nest-colors-in-nature-srzwt
9,DeVino Ladies Night,APR 23,9 PM,APR 23,,"Thu, Apr 23, 4 – 9 PM","DeVino Cellars, 1109 S Main St #101",Boerne,TX,https://business.boerne.org/events/details/devino-ladies-night-04-23-2026-31081
10,Tai Chi with Qi gong,APR 24,11:30 AM,APR 24,12:30 PM,"Fri, Apr 24, 11:30 AM – 12:30 PM","Boerne Public Library, 451 N Main St",Boerne,TX,https://theboernelife.com/events/tai-chi-qi-gong-2/2026-04-24/
11,Bubbletime Bookworms,APR 24,10:30 AM CDT,APR 24,,"Fri, Apr 24, 10:00 – 10:30 AM CDT","Patrick Heath Public Library, 451 N Main St",Boerne,TX,https://theboernelife.com/events/bubbletime-bookworms-2-2/2026-04-24/
12,Bubbletime Bookworms,APR 23,10:30 AM CDT,APR 23,,"Thu, Apr 23, 10:00 – 10:30 AM CDT","Boerne Public Library, 451 N Main St",Boerne,TX,https://theboernelife.com/events/bubbletime-bookworms-2/2026-04-23/
13,"Yin, Meditation, & Mindfulness",APR 26,6:30 PM CDT,APR 26,,"Sun, Apr 26, 5:00 – 6:30 PM CDT","Unison Studios: Music Academy, 725 N Main St",Boerne,TX,https://www.groundedmovement.org/schedule/d9843048-bc54-4bd0-924b-31230f56324e_1777240800
14,Mark Searcy Music,APR 26,4 PM CDT,APR 26,,"Sun, Apr 26, 12 – 4 PM CDT","Cibolo Creek Brewing Co., 448 S Main St",Boerne,TX,https://open.spotify.com/concert/1i3UNnNfKsKp8HvuxukVEA
15,Hill Country Art and Wine Festival,MAY 22,,MAY 22,,"Fri, May 22","Hill Country Mile Rod Run, 100 N Main St",Boerne,TX,https://www.traveltexas.com/event/hill-country-art-and-wine-festival/6063/
16,"Living Trust Seminar - Boerne, TX - April 29, 2026",APR 29,10:30 AM CDT,APR 29,,"Wed, Apr 29, 9:30 – 10:30 AM CDT","Fairfield by Marriott Inn & Suites San Antonio Boerne, 6 Cascade Cavern",Boerne,TX,https://atxwoman.com/calendar/?_evDiscoveryPath=/event%2F3525442-living-trust-seminar-boerne-tx-april-29-2026
17,Boerne Senior Expo - Thrive After 55+,MAY 5,9 AM CDT,MAY 5,3 PM CDT,"Tue, May 5, 9 AM – 3 PM CDT","The Bevy Hotel Boerne, a DoubleTree by Hilton, 101 Herff Rd",Boerne,TX,https://business.boerne.org/events/details/boerne-senior-expo-thrive-after-55-32209
18,Revenge of the Sixth (2026),MAY 6,,MAY 6,,"Wed, May 6","Richter Tavern, 153 S Main St",Boerne,TX,https://www.exploretock.com/richter-tavern-boerne/event/604463
19,Boerne Market Days,MAY 10,10 AM CDT,MAY 10,4 PM CDT,"Sun, May 10, 10 AM – 4 PM CDT",Main Plaza,Boerne,TX,http://boernechamber.chambermaster.com/events/details/boerne-market-days-05-10-2026-30469
20,"HITTING ACADEMY: SESSION 1 AGE 13-18 - Boerne, TX 2026",JUL 6,12:00 PM CDT,JUL 20,,"Jul 6, 12:00 PM – Jul 20, 2:15 PM CDT","The Dugout, 132 Old San Antonio Rd",Boerne,TX,https://www.activekids.com/boerne-tx/baseball/baseball-camps/hitting-academy-session-1-age-13-18-2026
